Datetime,Username,Text
2022-12-17 05:00:29+00:00,di_y4nie,"Beliau menyampaikan sebaiknya draf RKUHP dibuka ke publik agar publik bisa memberikan pandangan atas aturan tersebut.
""Live Muslimah Bicara""
#IslamSolusiKehidupan
#KapitalismeBiangMasalah
""RUU KUHP"""
2022-12-17 05:00:19+00:00,IndahAlamku1,"Direktur IJM: Tiga Catatan Penting Pengesahan RKUHP
https://t.co/DCDRPVz6kc

LIVE MUSLIMAH BICARA ""Pengesahan UU-KUHP:Menguatkan Sekulerisme-Liberalisme &amp; Otoritarianisme"" 

#IslamSolusiKehidupan
#KapitalismeBiangMasalah
RUU KUHP / Pengesahan UU-KUHP
Islam Kaffah"
2022-12-17 04:57:55+00:00,aisyahsyaheeda,"[PODCAST] Ngomong Politik Season 4 Ep #160 - Zina, Tuntas dengan Syariah Bukan dengan RKUHP
https://t.co/8G7iTu5UYb

LIVE MUSLIMAH BICARA ""Pengesahan UU-KUHP""
https://t.co/1NsP6BWoh4
#IslamSolusiKehidupan
#KapitalismeBiangMasalah
RUU KUHP / Pengesahan UU-KUHP
Islam Kaffah"
2022-12-17 04:57:53+00:00,di_y4nie,"Beberapa pasal yang dinilai krusial menimbulkan beragam penafsiran masih menyisakan tanda tanya. Apalagi para dewan sepertinya menutup rapat draf RKUHP ini.
""Live Muslimah Bicara""
#IslamSolusiKehidupan
#KapitalismeBiangMasalah
""RUU KUHP"""
2022-12-17 04:57:32+00:00,AisyahAin14,"[PODCAST] Ngomong Politik Season 4 Ep #160 - Zina, Tuntas dengan Syariah Bukan dengan RKUHP
https://t.co/FbQSzehkSk
LIVE MUSLIMAH BICARA ""Pengesahan UU-KUHP""
#IslamSolusiKehidupan
#KapitalismeBiangMasalah
RUU KUHP / Pengesahan UU-KUHP
Islam Kaffah"
2022-12-17 04:56:51+00:00,di_y4nie,"Silang pendapat mengenai pasal-pasal Rancangan Kitab Undang-Undang Pidana (RKUHP) masih berlanjut. Padahal, rencananya, aturan ini baru akan disahkan awal Juli 2022. 
""Live Muslimah Bicara""
#IslamSolusiKehidupan
#KapitalismeBiangMasalah
""RUU KUHP"""
2022-12-17 04:56:27+00:00,Zakiya323,"KUHP maupun RKUHP (yg dinilai tdk bisa memenuhi semua aspirasi rakyat) memperlihatkan pd kita bahwa sebaik apa pun manusia berusaha membuat aturan, apabila bersumber dr manusia itu sendiri, tdk akan pernah menghasilkan aturan yg sempurna.

Pengesahan UU-KUHP | Islam Kaffah"
2022-12-17 04:55:58+00:00,lenyleni66,"Setuju dengan RKUHP
#BerantasKorupsi
#HukumdanKeadilan
#IndonesiaBebasKorupsi
#SaveKPK https://t.co/qbKIYb2W7O"
2022-12-17 04:55:48+00:00,lenyleni66,"Dukung RKUHP
#BerantasKorupsi
#HukumdanKeadilan
#IndonesiaBebasKorupsi
#SaveKPK https://t.co/Plg6ovyvPO"
2022-12-17 04:52:07+00:00,inasfauziah_,"Ini membuktikan kelemahan demokrasi. Sistem pemerintahan ini menyandarkan aturan pada akal manusia. Adanya perdebatan RKUHP membuktikan bahwa demokrasi tak akan mampu mengayomi setiap orang. Bahkan dpt dikatakan, demokrasi ternyata melahirkan perdebatan.
#KapitalismeBiangMasalah"
2022-12-17 04:50:49+00:00,inasfauziah_,"Namun, pada praktiknya ternyata berbeda. Ada pasal dalam RKUHP yang dinilai dapat disalahgunakan untuk menggebuk pihak yang kontra terhadap pemerintah.
RUU KUHP 
Pengesahan UU-KUHP 
Islam Kaffah
#IslamSolusiKehidupan
#KapitalismeBiangMasalah"
2022-12-17 04:50:38+00:00,lenyleni66,@FraksiRakyatID Semoga RKUHP bisa disusun secara baik dan mengedepankan aspirasi rakyat
2022-12-17 04:45:10+00:00,LRizkyplastik,"@yaniarsim @Asuhan1nfinitE @BemsiOfficial Emang isi RKUHP nya kenapa yah
Jdi pingin tau isinya
Sampe mau di demo"
2022-12-17 04:42:08+00:00,di_y4nie,"Adanya perdebatan RKUHP membuktikan bahwa demokrasi tak akan mampu mengayomi setiap orang. Bahkan dapat dikatakan, demokrasi ternyata melahirkan perdebatan.
""Live Muslimah Bicara""
#IslamSolusiKehidupan
#KapitalismeBiangMasalah
""RUU KUHP"""
2022-12-17 04:40:34+00:00,Zakiya323,"Pakar hukum dari Universitas Al Azhar Indonesia, Suparji Ahmad, menyoroti bahwa RKUHP masih bernuansa kolonial. Alasannya, pembaharuan UU tersebut tidak sesuai dg ketentuan2.

Pengesahan UU-KUHP | Islam Kaffah | Live Muslimah Bicara

#IslamSolusiKehidupan
#KapitalismeBiangMasalah"
2022-12-17 04:40:03+00:00,timescoid,"Jalan panjang pembahasan Rancangan Kitab Undang-Undang Hukum Pidana (RKUHP) pada akhirnya disahkan oleh DPR menjadi undang-undang. Namun, diskursus problematik yang menye ... https://t.co/VklvD4zOLC #timesindonesia #ketahananinformasi #indonesiabangkit"
2022-12-17 04:36:54+00:00,fandaadrian2,Alhamdulillah DPR telah menetapkan RKUHP menjadi UU https://t.co/MTdOpZFA3e
2022-12-17 04:36:53+00:00,fandaadrian2,pengesahan RKUHP mendapat dukungan dari berbagai pihak https://t.co/42jfsHpHqU
2022-12-17 04:36:51+00:00,fandaadrian2,KSP sebut pengesahan RKUHP sempurnakan tata regulasi hukum https://t.co/81H8dlrOzr
2022-12-17 04:36:49+00:00,fandaadrian2,Jubir RKUHP tepis Ungakapan PBB yang bilang KUHP tak sesuai HAM https://t.co/F78UMkbppA
2022-12-17 04:34:24+00:00,di_y4nie,"Namun, pada praktiknya ternyata berbeda. Ada pasal dalam RKUHP yang dinilai dapat disalahgunakan untuk menggebuk pihak yang kontra terhadap pemerintah. 
""Live Muslimah Bicara""
#IslamSolusiKehidupan
#KapitalismeBiangMasalah
""RUU KUHP"""
2022-12-17 04:33:44+00:00,Zakiya323,"Jika benar RKUHP bernuansa kolonial, berarti aturan ini memiliki sifat seperti aturan zaman penjajahan.

RUU KUHP | Pengesahan UU-KUHP | Islam Kaffah | Live Muslimah Bicara

#IslamSolusiKehidupan
#KapitalismeBiangMasalah"
